bus_id,placa,linha,position,data,speed,sentido,trajeto,hodometro,direcao
30542,KXE7717,18,"-23.006455, -43.312952",1690405614000,27.4,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],53108.3,274
12733,KRQ4900,0,"-22.919829, -43.608492",1690405537000,0,,,18657, 
13406,LRG6479,18,"-22.919869, -43.607222",1677321952000,0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],1118.8, 
30514,KYL8595,29,"-23.001029, -43.366705",1690405612000,20,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],38507.3,265
47010,KPZ8363,25,"-23.005148, -43.558363",1690405524000,6.3,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],42840.5,305
86884,LSP9604,18,"-23.015957, -43.473321",1690405595000,43.6,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],15489.9,255
30522,LRE9805,12,"-22.9203, -43.607183",1681821543000,0,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],17983.8, 
12734,LSP8673,20,"-22.924241, -43.679223",1690405595000,32.6,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],17085.8,175
A991F39,LUG1F39,0,"-22.9516728, -43.3495341",1670749870000,0,,,84598.226, 
KWB9798 - APOIO VAN,KWB9798,0,"-22.916867, -43.684572",1690405601000,0,,,3350.4, 
90006,LRH6D12,10,"-23.000406, -43.392813",1690405450000,60.6,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],29978,92
30531,LRC6592,25,"-22.993847, -43.595368",1690405604000,0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],40892.3,255
30524,LRC6601,25,"-23.000385, -43.376956",1690405599000,21.5,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],29491,97
12731,,18,"-22.920248, -43.608226",1690400829000,0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],39932,173
86870,LSC9364,0,"-22.919654, -43.608503",1690405306000,0,,,3175.4, 
13415,KQK7905,13,"-22.993845, -43.59595",1690405599000,0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],45265.5,267
10306,KQP6773,19,"-22.919442, -43.607595",1683581133000,0,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],13633.6, 
901002,,22,"-23.000492, -43.366917",1690405420000,13.3,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],17513.7,193
902103,,35,"-22.876452, -43.329762",1690401423000,0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],12130.2, 
B13,KYM5979,14,"-23.00777, -43.442518",1690405601000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1294.9,36
B16,LSI3468,14,"-23.004698, -43.560431",1690405581000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1252.3,279
B35,LTI1196,14,"-23.004948, -43.559273",1690405599000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1204.3,293
B17,KWY8231,14,"-23.007342, -43.549376",1690405588000,58.5,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1365.8,284
B18,KRK9729,14,"-23.015177, -43.470175",1690405210000,54,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1243.2,255
B20,LMH6141,14,"-22.993532, -43.597305",1690405548000,0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1295.3,134
B19,KZJ7238,14,"-23.002543333333332, -43.56966",1690405481000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],105110.6,270
B09,KRP3042,17,"-22.815253333333334, -43.188356666666664",1683056061000,0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR),133560.5,270
B32,KYR8913,14,"-22.961344, -43.648577",1690405289000,0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],208.5, 
B27,LRK9551,14,"-22.961803333333332, -43.64848833333333",1684848519000,2,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE,594528.6,135
B14,KRK9519,14,"-23.005326, -43.43184",1690405600000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1306.9,251
B06,LMS3036,17,"-22.81576, -43.18839333333333",1683028873000,0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR),26287,90
B11,KRK9516,14,"-23.006563, -43.553441",1690405598000,58.3,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1382.2,104
B12,LMH5981,14,"-23.01007, -43.450223",1690401803000,14,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1260.1,256
B24,LSO7028,14,"-23.008171, -43.442596",1690405597000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1357.1,81
B25,,14,"-23.008268, -43.44311",1690405612000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1279.4,73
B28,KQP5E29,14,"-23.000552, -43.578058",1690405608000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1268.7,284
